    n, insertion_cmp, insertion_swaps, insertion_time, bubble_cmp, bubble_swaps, bubble_time
  657,        105775,          105129,             94,           ,             ,            
  658,        106330,          105683,             78,           ,             ,            
  659,        106470,          105822,             78,           ,             ,            
  660,        106510,          105861,             87,           ,             ,            
  661,        106638,          105988,             78,           ,             ,            
  662,        107239,          106588,             78,           ,             ,            
  663,        107444,          106792,             94,           ,             ,            
  664,        108006,          107353,             78,           ,             ,            
  665,        108185,          107531,             78,           ,             ,            
  666,        108743,          108088,             94,           ,             ,            
  667,        109291,          108635,             78,           ,             ,            
  668,        109345,          108688,             78,           ,             ,            
  669,        109985,          109327,             94,           ,             ,            
  670,        110209,          109550,             94,           ,             ,            
  671,        110413,          109753,             79,           ,             ,            
  672,        110702,          110041,             93,           ,             ,            
  673,        110937,          110275,             78,           ,             ,            
  674,        111419,          110756,             95,           ,             ,            
  675,        111688,          111024,             92,           ,             ,            
  676,        111993,          111328,             78,           ,             ,            
  677,        112424,          111758,             94,           ,             ,            
  678,        112998,          112331,             94,           ,             ,            
  679,        113530,          112862,             78,           ,             ,            
  680,        114118,          113449,             93,           ,             ,            
  681,        114372,          113702,             94,           ,             ,            
  682,        114705,          114034,             94,           ,             ,            
  683,        114966,          114294,             94,           ,             ,            
  684,        115158,          114485,             94,           ,             ,            
  685,        115688,          115014,             94,           ,             ,            
  686,        116344,          115669,             98,           ,             ,            
  687,        116851,          116175,             89,           ,             ,            
  688,        117454,          116777,             94,           ,             ,            
  689,        118113,          117435,             94,           ,             ,            
  690,        118493,          117814,             78,           ,             ,            
  691,        118994,          118314,             94,           ,             ,            
  692,        119173,          118492,             94,           ,             ,            
  693,        119300,          118618,             94,           ,             ,            
  694,        119631,          118948,             94,           ,             ,            
  695,        119698,          119014,             94,           ,             ,            
  696,        119778,          119093,             94,           ,             ,            
  697,        120275,          119589,             94,           ,             ,            
  698,        120529,          119842,             94,           ,             ,            
  699,        121103,          120415,             94,           ,             ,            
  700,        121175,          120486,             97,           ,             ,            
  701,        121552,          120862,             94,           ,             ,            
  702,        121886,          121195,             90,           ,             ,            
  703,        122468,          121776,             93,           ,             ,            
  704,        122519,          121826,             94,           ,             ,            
  705,        122940,          122246,             95,           ,             ,            
  706,        123494,          122799,             93,           ,             ,            
