     n, heap_cmp, heap_swaps, heap_time, merge_cmp, merge_swaps, merge_time
  4170,    87410,      46397,        47,     44850,           0,         31
  4171,    87316,      46336,        47,     44867,           0,         34
  4172,    87421,      46439,        41,     44853,           0,         20
  4173,    87477,      46461,        56,     44883,           0,         31
  4174,    87531,      46503,        47,     44910,           0,         31
  4175,    87488,      46470,        46,     44897,           0,         31
  4176,    87508,      46455,        62,     44937,           0,         31
  4177,    87544,      46474,        46,     44948,           0,         31
  4178,    87558,      46492,        47,     44962,           0,         22
  4179,    87645,      46531,        52,     44972,           0,         47
  4180,    87658,      46581,        62,     44998,           0,         31
  4181,    87616,      46571,        78,     45026,           0,         47
  4182,    87674,      46559,        46,     45019,           0,         31
  4183,    87730,      46582,        55,     45034,           0,         23
  4184,    87739,      46639,        48,     45040,           0,         31
  4185,    87684,      46570,        47,     45061,           0,         31
  4186,    87743,      46637,        47,     45055,           0,         31
  4187,    87795,      46602,        63,     45070,           0,         30
  4188,    87870,      46664,        46,     45099,           0,         31
  4189,    87831,      46685,        59,     45077,           0,         21
  4190,    87856,      46636,        50,     45144,           0,         15
  4191,    87899,      46683,        47,     45113,           0,         31
  4192,    87901,      46712,        47,     45206,           0,         31
  4193,    87894,      46674,        94,     45216,           0,         31
  4194,    87955,      46700,        47,     45149,           0,         34
  4195,    87993,      46732,        46,     45209,           0,         23
  4196,    88058,      46754,        46,     45165,           0,         31
  4197,    88105,      46785,        62,     45191,           0,         31
  4198,    88052,      46765,        46,     45175,           0,         31
  4199,    88096,      46814,        47,     45215,           0,         31
  4200,    88124,      46766,        47,     45230,           0,         31
  4201,    88096,      46810,        51,     45231,           0,         27
  4202,    88139,      46779,        59,     45275,           0,         19
  4203,    88164,      46821,        64,     45293,           0,         29
  4204,    88204,      46834,        44,     45311,           0,         31
  4205,    88232,      46842,        39,     45332,           0,         15
  4206,    88292,      46893,        47,     45346,           0,         31
  4207,    88267,      46870,        50,     45348,           0,         29
  4208,    88315,      46933,        55,     45317,           0,         15
  4209,    88359,      46912,        47,     45338,           0,         31
  4210,    88358,      46958,        62,     45351,           0,         47
  4211,    88395,      46973,        56,     45350,           0,         15
  4212,    88346,      46937,        62,     45364,           0,         25
  4213,    88396,      46966,        40,     45378,           0,         36
  4214,    88412,      46955,        57,     45382,           0,         31
  4215,    88457,      46985,        49,     45415,           0,         30
  4216,    88497,      46994,        46,     45444,           0,         31
  4217,    88490,      47005,        78,     45480,           0,         46
  4218,    88557,      46998,        42,     45487,           0,         20
  4219,    88497,      46985,        62,     45502,           0,         15
  4220,    88548,      47030,        46,     45467,           0,         31
  4221,    88624,      47053,        46,     45490,           0,         31
  4222,    88681,      47077,        62,     45487,           0,         15
  4223,    88684,      47083,        47,     45516,           0,         33
  4224,    88682,      47140,        50,     45495,           0,         30
  4225,    88770,      47152,        58,     45510,           0,         14
  4226,    88736,      47122,        47,     45553,           0,         31
  4227,    88731,      47159,        48,     45560,           0,         31
  4228,    88785,      47146,        61,     45597,           0,         14
  4229,    88790,      47128,        48,     45627,           0,         33
  4230,    88858,      47216,        57,     45614,           0,         30
  4231,    88910,      47236,        52,     45635,           0,         31
  4232,    88914,      47242,        50,     45639,           0,         27
  4233,    88926,      47253,        46,     45648,           0,         31
  4234,    88948,      47230,        62,     45659,           0,         31
  4235,    88976,      47256,        46,     45662,           0,         34
  4236,    89001,      47269,        52,     45695,           0,         30
  4237,    89040,      47266,        57,     45699,           0,         31
  4238,    89060,      47302,        47,     45673,           0,         30
  4239,    89071,      47292,        46,     45707,           0,         16
  4240,    89118,      47307,        46,     45707,           0,         31
  4241,    89154,      47378,        85,     45711,           0,         34
  4242,    89148,      47379,        60,     45739,           0,         16
  4243,    89187,      47395,        46,     45743,           0,         31
  4244,    89205,      47387,        46,     45793,           0,         31
  4245,    89203,      47380,        62,     45815,           0,         33
  4246,    89281,      47440,        45,     45819,           0,         31
  4247,    89299,      47466,        54,     45821,           0,         23
  4248,    89357,      47490,        56,     45854,           0,         31
  4249,    89287,      47417,        46,     45862,           0,         31
  4250,    89298,      47431,        49,     45860,           0,         15
  4251,    89321,      47451,        47,     45873,           0,         31
  4252,    89377,      47442,        47,     45886,           0,         31
  4253,    89416,      47498,        62,     45902,           0,         31
  4254,    89454,      47517,        45,     45912,           0,         28
  4255,    89416,      47484,        47,     45920,           0,         16
  4256,    89425,      47472,        46,     45969,           0,         31
  4257,    89494,      47550,        46,     45983,           0,         31
  4258,    89523,      47548,        62,     45988,           0,         31
  4259,    89558,      47579,        47,     45990,           0,         31
  4260,    89556,      47580,        40,     45960,           0,         31
  4261,    89616,      47642,        62,     45989,           0,         31
  4262,    89607,      47578,        47,     45987,           0,         31
  4263,    89658,      47602,        62,     46035,           0,         15
  4264,    89645,      47623,        47,     46003,           0,         32
  4265,    89747,      47655,        62,     46011,           0,         28
  4266,    89698,      47632,        47,     46076,           0,         31
  4267,    89725,      47672,        45,     46103,           0,         28
  4268,    89729,      47664,        62,     46058,           0,         28
  4269,    89779,      47662,        46,     46042,           0,         31
  4270,    89789,      47666,        46,     46092,           0,         15
  4271,    89913,      47758,        47,     46106,           0,         31
  4272,    89907,      47783,        47,     46157,           0,         42
  4273,    89873,      47719,        52,     46158,           0,         31
  4274,    89873,      47731,        53,     46139,           0,         25
  4275,    89929,      47776,        46,     46164,           0,         16
  4276,    89952,      47756,        46,     46154,           0,         34
  4277,    90030,      47814,        59,     46148,           0,         16
  4278,    90049,      47849,        47,     46144,           0,         31
  4279,    90052,      47858,        52,     46168,           0,         26
  4280,    90076,      47841,        62,     46229,           0,         31
  4281,    90029,      47848,        56,     46229,           0,         21
  4282,    90111,      47857,        49,     46241,           0,         31
  4283,    90127,      47893,        46,     46238,           0,         37
  4284,    90179,      47913,        56,     46273,           0,         31
  4285,    90242,      47927,        48,     46274,           0,         30
  4286,    90224,      47930,        47,     46274,           0,         31
  4287,    90287,      47955,        62,     46244,           0,         31
  4288,    90316,      47958,        46,     46327,           0,         18
  4289,    90313,      47975,        94,     46341,           0,         31
  4290,    90298,      47948,        58,     46356,           0,         26
  4291,    90373,      47996,        52,     46411,           0,         31
  4292,    90337,      47997,        46,     46427,           0,         36
  4293,    90383,      48013,        59,     46456,           0,         29
  4294,    90461,      48039,        47,     46441,           0,         31
  4295,    90400,      47996,        78,     46466,           0,         44
  4296,    90455,      48050,        50,     46489,           0,         31
  4297,    90515,      48057,        47,     46509,           0,         31
  4298,    90539,      48084,        62,     46502,           0,         31
  4299,    90571,      48144,        47,     46475,           0,         31
  4300,    90599,      48130,        78,     46512,           0,         46
  4301,    90581,      48081,        52,     46511,           0,         29
  4302,    90567,      48107,        53,     46533,           0,         22
  4303,    90583,      48086,        62,     46517,           0,         31
  4304,    90661,      48120,        48,     46564,           0,         35
  4305,    90635,      48108,        57,     46566,           0,         31
  4306,    90700,      48167,        47,     46547,           0,         31
  4307,    90725,      48199,        65,     46546,           0,         30
  4308,    90764,      48228,        47,     46581,           0,         31
  4309,    90738,      48187,        62,     46607,           0,         31
  4310,    90753,      48201,        46,     46611,           0,         31
  4311,    90810,      48203,        62,     46604,           0,         23
  4312,    90731,      48161,        48,     46689,           0,         38
  4313,    90900,      48271,        52,     46708,           0,         16
  4314,    90900,      48290,        47,     46642,           0,         31
  4315,    90880,      48219,        47,     46688,           0,         15
  4316,    90950,      48304,        47,     46695,           0,         31
  4317,    90924,      48287,        46,     46734,           0,         31
  4318,    90915,      48269,        62,     46746,           0,         31
  4319,    90943,      48266,        52,     46777,           0,         22
  4320,    91023,      48327,        59,     46745,           0,         31
  4321,    91029,      48319,        47,     46764,           0,         31
  4322,    91070,      48400,        62,     46764,           0,         31
  4323,    91075,      48360,        53,     46770,           0,         25
  4324,    91130,      48419,        62,     46757,           0,         36
  4325,    91145,      48397,        52,     46768,           0,         22
  4326,    91135,      48372,        46,     46762,           0,         36
  4327,    91186,      48435,        42,     46768,           0,         31
  4328,    91262,      48500,        62,     46814,           0,         31
  4329,    91279,      48437,        47,     46821,           0,         31
  4330,    91281,      48450,        62,     46808,           0,         25
  4331,    91288,      48469,        45,     46815,           0,         21
  4332,    91357,      48530,        62,     46858,           0,         30
  4333,    91385,      48480,        40,     46862,           0,         38
  4334,    91338,      48520,        55,     46868,           0,         31
  4335,    91362,      48514,        47,     46892,           0,         31
  4336,    91432,      48567,        99,     46923,           0,         43
  4337,    91502,      48625,        46,     46927,           0,         31
  4338,    91408,      48491,        48,     46953,           0,         32
  4339,    91392,      48542,        46,     46965,           0,         31
  4340,    91486,      48595,        62,     46996,           0,         31
  4341,    91525,      48595,        46,     47015,           0,         35
  4342,    91552,      48635,        62,     47010,           0,         26
  4343,    91647,      48669,        47,     47024,           0,         31
  4344,    91609,      48634,        62,     47036,           0,         32
  4345,    91673,      48663,        46,     47072,           0,         31
  4346,    91699,      48701,        62,     47082,           0,         31
  4347,    91744,      48726,        60,     47083,           0,         29
  4348,    91691,      48660,        47,     47072,           0,         31
  4349,    91750,      48690,        54,     47082,           0,         16
  4350,    91690,      48693,        46,     47071,           0,         31
  4351,    91766,      48733,        46,     47077,           0,         19
  4352,    91810,      48729,        48,     47103,           0,         30
  4353,    91857,      48741,        56,     47117,           0,         31
  4354,    91848,      48778,        47,     47149,           0,         31
